id_mata_kuliah	kd_mata_kuliah	nama_mata_kuliah	nama_mata_kuliah_english	sks	semester	tingkat_mata_kuliah	index_minimum	id_program_studi	nama_prodi	nama_prodi_en
670	AKD96A3	AKT. KEUANGAN INTERNASIONAL	INTERNATIONAL FINANCIAL ACCOUNTING	3	Genap	3	C	3	AKUNTANSI	ACCOUNTING
671	AKD81J4	PENGANTAR AKUNTANSI	INTRODUCTION TO ACCOUNTING	4	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
672	AKD91A0	LAB. PENGANTAR AKUNTANSI	INTRODUCTION TO ACCOUNTING LABORATORY	0	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
673	AKD71A3	PENGANTAR AKUNTANSI I	INTRODUCTION TO ACCOUNTING I	3	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
674	AKD71B2	LAB. PENGANTAR AKUNTANSI I	INTRODUCTION TO ACCOUNTING LABORATORY I	2	Ganjil	1	C	3	AKUNTANSI	ACCOUNTING
675	AKD72A3	PENGANTAR AKUNTANSI II	INTRODUCTION TO ACCOUNTING II	3	Genap	1	C	3	AKUNTANSI	ACCOUNTING
676	AKD52A2	LAB. PENGANTAR AKUNTANSI II	INTRODUCTION TO ACCOUNTING LABORATORY II	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
677	AKD95A3	AKUNTANSI MANAJEMEN	MANAGEMENT ACCOUNTING	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
678	AKD55B3	AKUNTANSI PEMERINTAHAN	GOVERNMENT ACCOUNTING	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
679	AKD45C2	AKUNTANSI PEMERINTAHAN	GOVERNMENT ACCOUNTING	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
680	AKD35E2	AKUNTANSI SEKTOR PUBLIK	PUBLIC SECTOR ACCOUNTING	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
681	AKD35A3	AUDIT	AUDIT	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
682	AKD36A3	AUDIT II	AUDIT II	3	Genap	3	C	3	AKUNTANSI	ACCOUNTING
683	AKD36B2	LAB. AUDIT II	AUDIT LABORATORY II	2	Genap	3	C	3	AKUNTANSI	ACCOUNTING
684	AKD75B3	PEMERIKSAAN AKUNTANSI I	ACCOUNTING AUDIT I	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
685	AKD56A3	PEMERIKSAAN AKUNTANSI II	ACCOUNTING AUDIT II	3	Genap	3	C	3	AKUNTANSI	ACCOUNTING
686	AKD42B2	LAB. PENGANTAR AKUNTANSI II	INTRODUCTION TO ACCOUNTING LABORATORY II	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
687	AKD16B3	AUDIT LANJUTAN	ADVANCED AUDIT	3	Genap	3	C	3	AKUNTANSI	ACCOUNTING
688	AKD16C2	LAB. AUDIT LANJUTAN	ADVANCED AUDIT LABORATORY	2	Genap	3	C	3	AKUNTANSI	ACCOUNTING
689	AKD06B3	AUDIT	AUDIT	3	Genap	3	C	3	AKUNTANSI	ACCOUNTING
690	AKD55C2	ANALISA LAPORAN KEUANGAN	ANALYSIS OF FINANCIAL STATEMENTS	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
691	AKD33A3	ANALISA LAPORAN KEUANGAN	ANALYSIS OF FINANCIAL STATEMENTS	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
692	AKD54D3	ANGGARAN PERUSAHAAN	COMPANY BUDGET	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
693	AKD74B2	ANGGARAN PERUSAHAAN	COMPANY BUDGET	2	Genap	2	C	3	AKUNTANSI	ACCOUNTING
694	AKD54E2	LAB. ANGGARAN PERUSAHAAN	COMPANY BUDGET LABORATORY	2	Genap	2	C	3	AKUNTANSI	ACCOUNTING
695	AKD43E3	BANK DAN LEMBAGA KEU. LAINNYA	BANKS AND OTHER FINANCIAL INSTITUTIONS	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
696	AKD72B3	BANK DAN LEMBAGA KEUANGAN	BANKS AND FINANCIAL INSTITUTIONS	3	Genap	1	C	3	AKUNTANSI	ACCOUNTING
697	AKD55D3	CONTROLLERSHIP	CONTROLLERSHIP	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
698	AKD74C3	PERPAJAKAN	TAXATION	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
